Id,SalePrice
1461,113425.12
1462,154121.47
1463,181744.75
1464,202501.56
1465,194354.03
1466,172868.84
1467,182486.58
1468,168021.66
1469,193998.19
1470,113888.27
1471,183087.34
1472,96151.03
1473,91327.305
1474,144602.58
1475,92247.87
1476,345273.66
1477,251523.27
1478,300339.56
1479,297464.9
1480,449706.1
1481,309448.22
1482,217331.1
1483,171965.66
1484,165859.06
1485,197109.47
1486,203467.69
1487,312462.3
1488,241627.03
1489,191538.7
1490,244010.44
1491,202098.06
1492,90782.555
1493,208257.2
1494,295127.94
1495,273162.6
1496,243271.9
1497,166033.34
1498,159843.94
1499,161182.44
1500,152837.56
1501,205629.28
1502,147881.66
1503,288053.6
1504,239090.44
1505,224560.69
1506,195842.5
1507,247941.25
1508,199527.88
1509,152292.16
1510,148507.53
1511,144470.94
1512,181519.25
1513,144319.83
1514,162039.58
1515,209216.98
1516,165679.1
1517,174018.23
1518,116712.35
1519,229387.92
1520,122880.336
1521,124529.76
1522,199347.02
1523,96558.836
1524,113417.414
1525,107916.6
1526,98768.46
1527,105752.68
1528,134745.19
1529,147971.19
1530,223041.19
1531,141272.9
1532,107793.836
1533,151620.81
1534,122176.23
1535,147261.84
1536,103139.4
1537,58872.31
1538,168607.95
1539,205716.69
1540,122902.85
1541,145648.75
1542,135588.47
1543,189201.88
1544,82013.82
1545,123654.68
1546,152979.12
1547,134576.45
1548,139253.52
1549,125512.18
1550,147939.78
1551,112492.305
1552,150314.4
1553,161031.88
1554,113834.79
1555,160164.5
1556,73151.21
1557,108528.21
1558,95482.914
1559,72713.6
1560,121946.086
1561,128103.305
1562,128358.24
1563,122358.555
1564,159485.19
1565,156182.84
1566,245722.84
1567,66430.29
1568,242966.19
1569,131160.22
1570,137593.72
1571,94930.49
1572,141339.3
1573,241054.75
1574,126677.734
1575,234002.62
1576,252529.75
1577,187764.44
1578,153304.94
1579,132383.48
1580,196982.47
1581,160286.06
1582,127958.73
1583,297090.94
1584,226517.28
1585,143161.31
1586,53233.086
